ID	phase	blk	tri	targetId,	cat1	cat2	err	comp,	distance,	ct	startTimeToComplete,	clk	TimeOUt
S2	P4	B3	16	17		v6	1	TRUE	0	4663	4664	2	0
S2	P4	B3	17	8		v15	2	TRUE	0	7416	7416	3	0
S2	P4	B3	18	6		v9	2	TRUE	0	6215	6216	3	0
S2	P4	B3	19	18		v9	0	TRUE	0	3096	3096	1	0
S2	P4	B3	20	12		v15	1	TRUE	0	4208	4209	2	0
S3	P4	B3	1	11	new	v3	0	TRUE	0	3072	3072	1	0
S3	P4	B3	2	3		v15	1	TRUE	0	3992	3992	2	0
S3	P4	B3	3	5		v6	0	TRUE	0	2599	2599	1	0
S3	P4	B3	4	12		v15	2	TRUE	0	5256	5256	3	0
S3	P4	B3	5	4	new	v3	2	TRUE	0	3552	3553	3	0
S3	P4	B3	6	2	new	v3	1	TRUE	0	5272	5272	2	0
S3	P4	B3	7	6		v9	2	TRUE	0	5390	5391	3	0
S3	P4	B3	8	9		v6	2	TRUE	0	5399	5400	3	0
S3	P4	B3	9	0		v6	0	TRUE	0	2687	2688	1	0
S3	P4	B3	10	16		v15	2	TRUE	0	6334	6336	3	0
S3	P4	B3	11	10		v9	2	TRUE	0	4951	4953	3	0
S3	P4	B3	12	14		v9	7	TRUE	0	13302	13303	8	0
S3	P4	B3	13	7	new	v3	1	TRUE	0	5952	5952	2	0
S3	P4	B3	14	8		v15	1	TRUE	0	4176	4176	2	0
S3	P4	B3	15	19		v15	0	TRUE	0	3366	3367	1	0
S3	P4	B3	16	17		v6	1	TRUE	0	3960	3961	2	0
S3	P4	B3	17	1		v9	0	TRUE	0	3416	3416	1	0
S3	P4	B3	18	18		v9	0	TRUE	0	2559	2559	1	0
S3	P4	B3	19	13		v6	4	TRUE	0	9104	9105	5	0
S3	P4	B3	20	15	new	v3	1	TRUE	0	6104	6104	2	0
S4	P4	B3	2	17		v6	1	TRUE	0	3735	3736	2	0
S4	P4	B3	3	14		v9	0	TRUE	0	3776	3776	1	0
S4	P4	B3	4	8		v15	3	TRUE	0	6926	6927	4	0
S4	P4	B3	5	12		v15	2	TRUE	0	5048	5048	3	0
S4	P4	B3	6	19		v15	0	TRUE	0	2159	2159	1	0
S4	P4	B3	7	16		v15	1	TRUE	0	3239	3240	2	0
S4	P4	B3	8	13		v6	4	TRUE	0	6926	6929	5	0
S4	P4	B3	9	10		v9	1	TRUE	0	3191	3192	2	0
S4	P4	B3	10	7	new	v3	1	TRUE	0	3862	3863	2	0
S4	P4	B3	11	2	new	v3	2	TRUE	0	5086	5088	3	0
S4	P4	B3	12	9		v6	2	TRUE	0	3928	3929	3	0
S4	P4	B3	13	18		v9	1	TRUE	0	4903	4903	2	0
S4	P4	B3	14	3		v15	0	TRUE	0	3312	3312	1	0
S4	P4	B3	17	15	new	v3	2	TRUE	0	5614	5615	3	0
S4	P4	B3	18	4	new	v3	3	TRUE	0	5127	5129	4	0
S4	P4	B3	19	0		v6	1	TRUE	0	5552	5552	2	0
S4	P4	B3	20	5		v6	1	TRUE	0	3343	3343	2	0
S5	P4	B3	1	19		v15	0	TRUE	0	4591	4593	1	0
S5	P4	B3	2	5		v6	4	TRUE	0	6204	6207	5	0
S5	P4	B3	3	7	new	v3	0	TRUE	0	2615	2617	1	0
S5	P4	B3	4	16		v15	2	TRUE	0	4708	4711	3	0
S5	P4	B3	5	15	new	v3	0	TRUE	0	2974	2976	1	0
S5	P4	B3	6	3		v15	2	TRUE	0	6306	6311	3	0
S5	P4	B3	7	11	new	v3	2	TRUE	0	5284	5288	3	0
S5	P4	B3	8	9		v6	1	TRUE	0	4182	4184	2	0
S5	P4	B3	10	17		v6	2	TRUE	0	6493	6496	3	0
S5	P4	B3	11	4	new	v3	0	TRUE	0	2895	2896	1	0
S5	P4	B3	12	10		v9	4	TRUE	0	5786	5791	5	0
S5	P4	B3	13	0		v6	0	TRUE	0	3030	3032	1	0
S5	P4	B3	14	6		v9	3	TRUE	0	5564	5569	4	0
S5	P4	B3	15	1		v9	0	TRUE	0	3694	3695	1	0
S5	P4	B3	17	18		v9	0	TRUE	0	3759	3759	1	0
S5	P4	B3	18	13		v6	3	TRUE	0	6722	6729	4	0
S5	P4	B3	20	12		v15	1	TRUE	0	3590	3592	2	0
